Issue id,Summary,Description,Priority,Resolution,Status,Created,Resolved,Affects Version/s
13434743,shaded mapreduce and shaded byo-hadoop client artifacts contains no classes,"After fixing the logging problem in HBASE-26870, we could see the actual error.

{noformat}
/home/jenkins/jenkins-home/workspace/ase_Nightly_HBASE-26870-branch-2/hadoop-3/bin/hadoop --config /home/jenkins/jenkins-home/workspace/ase_Nightly_HBASE-26870-branch-2/output-integration/hadoop-3/hbase-conf/ jar /home/jenkins/jenkins-home/workspace/ase_Nightly_HBASE-26870-branch-2/hbase-client/lib/shaded-clients/hbase-shaded-mapreduce-2.6.0-SNAPSHOT.jar importtsv -Dimporttsv.columns=HBASE_ROW_KEY,family1:column1,family1:column4,family1:column3 test:example example/ -libjars /home/jenkins/jenkins-home/workspace/ase_Nightly_HBASE-26870-branch-2/hbase-client/bin/../lib/shaded-clients/hbase-shaded-mapreduce-2.6.0-SNAPSHOT.jar:/home/jenkins/jenkins-home/workspace/ase_Nightly_HBASE-26870-branch-2/hbase-client/bin/../lib/client-facing-thirdparty/audience-annotations-0.5.0.jar:/home/jenkins/jenkins-home/workspace/ase_Nightly_HBASE-26870-branch-2/hbase-client/bin/../lib/client-facing-thirdparty/commons-logging-1.2.jar:/home/jenkins/jenkins-home/workspace/ase_Nightly_HBASE-26870-branch-2/hbase-client/bin/../lib/client-facing-thirdparty/htrace-core4-4.1.0-incubating.jar:/home/jenkins/jenkins-home/workspace/ase_Nightly_HBASE-26870-branch-2/hbase-client/bin/../lib/client-facing-thirdparty/jcl-over-slf4j-1.7.33.jar:/home/jenkins/jenkins-home/workspace/ase_Nightly_HBASE-26870-branch-2/hbase-client/bin/../lib/client-facing-thirdparty/jul-to-slf4j-1.7.33.jar:/home/jenkins/jenkins-home/workspace/ase_Nightly_HBASE-26870-branch-2/hbase-client/bin/../lib/client-facing-thirdparty/opentelemetry-api-1.0.1.jar:/home/jenkins/jenkins-home/workspace/ase_Nightly_HBASE-26870-branch-2/hbase-client/bin/../lib/client-facing-thirdparty/opentelemetry-context-1.0.1.jar:/home/jenkins/jenkins-home/workspace/ase_Nightly_HBASE-26870-branch-2/hbase-client/bin/../lib/client-facing-thirdparty/opentelemetry-semconv-1.0.1-alpha.jar:/home/jenkins/jenkins-home/workspace/ase_Nightly_HBASE-26870-branch-2/hbase-client/bin/../lib/client-facing-thirdparty/slf4j-api-1.7.33.jar
WARNING: log4j.properties is not found. HADOOP_CONF_DIR may be incomplete.
Exception in thread ""main"" java.lang.ClassNotFoundException: org.apache.hadoop.hbase.mapreduce.Driver
	at java.net.URLClassLoader.findClass(URLClassLoader.java:382)
	at java.lang.ClassLoader.loadClass(ClassLoader.java:418)
	at java.lang.ClassLoader.loadClass(ClassLoader.java:351)
	at java.lang.Class.forName0(Native Method)
	at java.lang.Class.forName(Class.java:348)
	at org.apache.hadoop.util.RunJar.run(RunJar.java:311)
	at org.apache.hadoop.util.RunJar.main(RunJar.java:232)
{noformat}",Blocker,Fixed,Resolved,20/Mar/22 14:07,30/Mar/22 22:09,2.5.0
13424759,"Netty ""leak detected"" and OutOfDirectMemoryError due to direct memory buffering with SASL implementation","Under constant data ingestion, using default Netty based RpcServer and RpcClient implementation results in OutOfDirectMemoryError, supposedly caused by leaks detected by Netty's LeakDetector.
{code:java}
2022-01-25 17:03:10,084 ERROR [S-EventLoopGroup-1-3] util.ResourceLeakDetector - java:115)
  org.apache.hbase.thirdparty.io.netty.handler.codec.ByteToMessageDecoder.expandBTW. have you run the related test case?(ByteToMessageDecoder.java:538)
  org.apache.hbase.thirdparty.io.netty.handler.codec.ByteToMessageDecoder$1.cumulate(ByteToMessageDecoder.java:97)
  org.apache.hbase.thirdparty.io.netty.handler.codec.ByteToMessageDecoder.channelRead(ByteToMessageDecoder.java:274)
  org.apache.hbase.thirdparty.io.netty.channel.AbstractChannelHandlerContext.invokeChannelRead(AbstractChannelHandlerContext.java:379)
  org.apache.hbase.thirdparty.io.netty.channel.AbstractChannelHandlerContext.invokeChannelRead(AbstractChannelHandlerContext.java:365)
  org.apache.hbase.thirdparty.io.netty.channel.AbstractChannelHandlerContext.fireChannelRead(AbstractChannelHandlerContext.java:357)
  org.apache.hbase.thirdparty.io.netty.channel.DefaultChannelPipeline$HeadContext.channelRead(DefaultChannelPipeline.java:1410)
  org.apache.hbase.thirdparty.io.netty.channel.AbstractChannelHandlerContext.invokeChannelRead(AbstractChannelHandlerContext.java:379)
  org.apache.hbase.thirdparty.io.netty.channel.AbstractChannelHandlerContext.invokeChannelRead(AbstractChannelHandlerContext.java:365)
  org.apache.hbase.thirdparty.io.netty.channel.DefaultChannelPipeline.fireChannelRead(DefaultChannelPipeline.java:919)
  org.apache.hbase.thirdparty.io.netty.channel.epoll.AbstractEpollStreamChannel$EpollStreamUnsafe.epollInReady(AbstractEpollStreamChannel.java:795)
  org.apache.hbase.thirdparty.io.netty.channel.epoll.EpollEventLoop.processReady(EpollEventLoop.java:480)
  org.apache.hbase.thirdparty.io.netty.channel.epoll.EpollEventLoop.run(EpollEventLoop.java:378)
  org.apache.hbase.thirdparty.io.netty.util.concurrent.SingleThreadEventExecutor$4.run(SingleThreadEventExecutor.java:989)
  org.apache.hbase.thirdparty.io.netty.util.internal.ThreadExecutorMap$2.run(ThreadExecutorMap.java:74)
  org.apache.hbase.thirdparty.io.netty.util.concurrent.FastThreadLocalRunnable.run(FastThreadLocalRunnable.java:30)
  java.lang.Thread.run(Thread.java:748)
 {code}
{code:java}
2022-01-25 17:03:14,014 ERROR [S-EventLoopGroup-1-3] util.ResourceLeakDetector - apache.hbase.thirdparty.io.netty.handler.codec.ByteToMessageDecoder.decodeRemovalReentryProtection(ByteToMessageDecoder.java:507)
  org.apache.hbase.thirdparty.io.netty.handler.codec.ByteToMessageDecoder.callDecode(ByteToMessageDecoder.java:446)
  org.apache.hbase.thirdparty.io.netty.handler.codec.ByteToMessageDecoder.channelRead(ByteToMessageDecoder.java:276)
  org.apache.hbase.thirdparty.io.netty.channel.AbstractChannelHandlerContext.invokeChannelRead(AbstractChannelHandlerContext.java:379)
  org.apache.hbase.thirdparty.io.netty.channel.AbstractChannelHandlerContext.invokeChannelRead(AbstractChannelHandlerContext.java:365)
  org.apache.hbase.thirdparty.io.netty.channel.AbstractChannelHandlerContext.fireChannelRead(AbstractChannelHandlerContext.java:357)
  org.apache.hbase.thirdparty.io.netty.channel.DefaultChannelPipeline$HeadContext.channelRead(DefaultChannelPipeline.java:1410)
  org.apache.hbase.thirdparty.io.netty.channel.AbstractChannelHandlerContext.invokeChannelRead(AbstractChannelHandlerContext.java:379)
  org.apache.hbase.thirdparty.io.netty.channel.AbstractChannelHandlerContext.invokeChannelRead(AbstractChannelHandlerContext.java:365)
  org.apache.hbase.thirdparty.io.netty.channel.DefaultChannelPipeline.fireChannelRead(DefaultChannelPipeline.java:919)
  org.apache.hbase.thirdparty.io.netty.channel.epoll.AbstractEpollStreamChannel$EpollStreamUnsafe.epollInReady(AbstractEpollStreamChannel.java:795)
  org.apache.hbase.thirdparty.io.netty.channel.epoll.EpollEventLoop.processReady(EpollEventLoop.java:480)
  org.apache.hbase.thirdparty.io.netty.channel.epoll.EpollEventLoop.run(EpollEventLoop.java:378)
  org.apache.hbase.thirdparty.io.netty.util.concurrent.SingleThreadEventExecutor$4.run(SingleThreadEventExecutor.java:989)
  org.apache.hbase.thirdparty.io.netty.util.internal.ThreadExecutorMap$2.run(ThreadExecutorMap.java:74)
  org.apache.hbase.thirdparty.io.netty.util.concurrent.FastThreadLocalRunnable.run(FastThreadLocalRunnable.java:30)
  java.lang.Thread.run(Thread.java:748)
 {code}
And finally handlers are removed from the pipeline due to OutOfDirectMemoryError:
{code:java}
2022-01-25 17:36:28,657 WARN  [S-EventLoopGroup-1-5] channel.DefaultChannelPipeline - An exceptionCaught() event was fired, and it reached at the tail of the pipeline. It usually means the last handler in the pipeline did not handle the exception.
org.apache.hbase.thirdparty.io.netty.channel.ChannelPipelineException: org.apache.hadoop.hbase.security.NettyHBaseSaslRpcClientHandler.handlerAdded() has thrown an exception; removed.
  at org.apache.hbase.thirdparty.io.netty.channel.DefaultChannelPipeline.callHandlerAdded0(DefaultChannelPipeline.java:624)
  at org.apache.hbase.thirdparty.io.netty.channel.DefaultChannelPipeline.addFirst(DefaultChannelPipeline.java:181)
  at org.apache.hbase.thirdparty.io.netty.channel.DefaultChannelPipeline.addFirst(DefaultChannelPipeline.java:358)
  at org.apache.hbase.thirdparty.io.netty.channel.DefaultChannelPipeline.addFirst(DefaultChannelPipeline.java:339)
  at org.apache.hadoop.hbase.ipc.NettyRpcConnection.saslNegotiate(NettyRpcConnection.java:229)
  at org.apache.hadoop.hbase.ipc.NettyRpcConnection.access$600(NettyRpcConnection.java:79)
  at org.apache.hadoop.hbase.ipc.NettyRpcConnection$2.operationComplete(NettyRpcConnection.java:312)
  at org.apache.hadoop.hbase.ipc.NettyRpcConnection$2.operationComplete(NettyRpcConnection.java:300)
  at org.apache.hbase.thirdparty.io.netty.util.concurrent.DefaultPromise.notifyListener0(DefaultPromise.java:578)
  at org.apache.hbase.thirdparty.io.netty.util.concurrent.DefaultPromise.notifyListeners0(DefaultPromise.java:571)
  at org.apache.hbase.thirdparty.io.netty.util.concurrent.DefaultPromise.notifyListenersNow(DefaultPromise.java:550)
  at org.apache.hbase.thirdparty.io.netty.util.concurrent.DefaultPromise.notifyListeners(DefaultPromise.java:491)
  at org.apache.hbase.thirdparty.io.netty.util.concurrent.DefaultPromise.setValue0(DefaultPromise.java:616)
  at org.apache.hbase.thirdparty.io.netty.util.concurrent.DefaultPromise.setSuccess0(DefaultPromise.java:605)
  at org.apache.hbase.thirdparty.io.netty.util.concurrent.DefaultPromise.trySuccess(DefaultPromise.java:104)
  at org.apache.hbase.thirdparty.io.netty.channel.DefaultChannelPromise.trySuccess(DefaultChannelPromise.java:84)
  at org.apache.hbase.thirdparty.io.netty.channel.epoll.AbstractEpollChannel$AbstractEpollUnsafe.fulfillConnectPromise(AbstractEpollChannel.java:653)
  at org.apache.hbase.thirdparty.io.netty.channel.epoll.AbstractEpollChannel$AbstractEpollUnsafe.finishConnect(AbstractEpollChannel.java:691)
  at org.apache.hbase.thirdparty.io.netty.channel.epoll.AbstractEpollChannel$AbstractEpollUnsafe.epollOutReady(AbstractEpollChannel.java:567)
  at org.apache.hbase.thirdparty.io.netty.channel.epoll.EpollEventLoop.processReady(EpollEventLoop.java:470)
  at org.apache.hbase.thirdparty.io.netty.channel.epoll.EpollEventLoop.run(EpollEventLoop.java:378)
  at org.apache.hbase.thirdparty.io.netty.util.concurrent.SingleThreadEventExecutor$4.run(SingleThreadEventExecutor.java:989)
  at org.apache.hbase.thirdparty.io.netty.util.internal.ThreadExecutorMap$2.run(ThreadExecutorMap.java:74)
  at org.apache.hbase.thirdparty.io.netty.util.concurrent.FastThreadLocalRunnable.run(FastThreadLocalRunnable.java:30)
  at java.lang.Thread.run(Thread.java:748)
Caused by: org.apache.hbase.thirdparty.io.netty.util.internal.OutOfDirectMemoryError: failed to allocate 16777216 byte(s) of direct memory (used: 33269220801, max: 33285996544)
  at org.apache.hbase.thirdparty.io.netty.util.internal.PlatformDependent.incrementMemoryCounter(PlatformDependent.java:802)
  at org.apache.hbase.thirdparty.io.netty.util.internal.PlatformDependent.allocateDirectNoCleaner(PlatformDependent.java:731)
  at org.apache.hbase.thirdparty.io.netty.buffer.PoolArena$DirectArena.allocateDirect(PoolArena.java:632)
  at org.apache.hbase.thirdparty.io.netty.buffer.PoolArena$DirectArena.newChunk(PoolArena.java:607)
  at org.apache.hbase.thirdparty.io.netty.buffer.PoolArena.allocateNormal(PoolArena.java:202)
  at org.apache.hbase.thirdparty.io.netty.buffer.PoolArena.tcacheAllocateSmall(PoolArena.java:172)
  at org.apache.hbase.thirdparty.io.netty.buffer.PoolArena.allocate(PoolArena.java:134)
  at org.apache.hbase.thirdparty.io.netty.buffer.PoolArena.allocate(PoolArena.java:126)
  at org.apache.hbase.thirdparty.io.netty.buffer.PooledByteBufAllocator.newDirectBuffer(PooledByteBufAllocator.java:395)
  at org.apache.hbase.thirdparty.io.netty.buffer.AbstractByteBufAllocator.directBuffer(AbstractByteBufAllocator.java:187)
  at org.apache.hbase.thirdparty.io.netty.buffer.AbstractByteBufAllocator.directBuffer(AbstractByteBufAllocator.java:178)
  at org.apache.hbase.thirdparty.io.netty.buffer.AbstractByteBufAllocator.buffer(AbstractByteBufAllocator.java:115)
  at org.apache.hadoop.hbase.security.NettyHBaseSaslRpcClientHandler.writeResponse(NettyHBaseSaslRpcClientHandler.java:79)
  at org.apache.hadoop.hbase.security.NettyHBaseSaslRpcClientHandler.handlerAdded(NettyHBaseSaslRpcClientHandler.java:115)
  at org.apache.hbase.thirdparty.io.netty.channel.AbstractChannelHandlerContext.callHandlerAdded(AbstractChannelHandlerContext.java:938)
  at org.apache.hbase.thirdparty.io.netty.channel.DefaultChannelPipeline.callHandlerAdded0(DefaultChannelPipeline.java:609)
  ... 24 more
 {code}",Blocker,Fixed,Resolved,25/Jan/22 18:36,07/Jul/22 08:31,2.4.6
13432116,Backport the log4j2 changes to branch-2,"One thing is that, we'd better make sure that users can still use the old log4j.properties for logging.",Blocker,Fixed,Resolved,05/Mar/22 01:42,11/Mar/22 19:46,
13432167,Missing opentelemetry agent in hadoop-two-compat.xml,"We do not have hadoop-two-compat.xml on master, this is probably why we missed this file when backporting to branch-2.",Blocker,Fixed,Resolved,05/Mar/22 13:40,10/Mar/22 20:06,2.5.0
13424163,The way we bypass broken track file is not enough in StoreFileListFile,"When implementing HBASE-26690, I found that a pb message can be parsed with partial bytes, if we stop at some special point.

So we can not rely on the pb parser to always throw InvalidProtocolBufferException for us, we need to detect the incomplete file by ourselves.",Critical,Fixed,Resolved,22/Jan/22 15:23,25/Jan/22 07:22,
13434041,NPE caused by WAL Compression and Replication,"My cluster uses HBase 1.4.12, opened WAL compression and replication.

I could found replication sizeOfLogQueue backlog, and after some debugs, found the NPE throwed by [https://github.com/apache/hbase/blob/branch-1/hbase-common/src/main/java/org/apache/hadoop/hbase/io/util/LRUDictionary.java#L109:]

!image-2022-03-16-14-25-49-276.png!

 

The root cause for this problem is:
WALEntryStream#checkAllBytesParsed:

!image-2022-03-16-14-30-15-247.png!

resetReader does not create a new reader, the original CompressionContext and the dict in it will still be retained.
However, at this time, the position is reset to 0, which means that the HLog needs to be read from the beginning, but the cache that has not been cleared is still used, so there will be problems: the same data has already in the LRUCache, and it will be directly added to the cache again.
Recreate a new reader here, the problem is solved.

I will open a PR later. But, there are some other places in the current code to resetReader or seekOnFs. I guess these codes doesn't take into account the wal compression case at all...

 

In theory, as long as the file is read again, the LRUCache should also be rolled back, otherwise there will be inconsistent behavior of READ and WRITE links.
But the position can be roll back to any intermediate position at will, but LRUCache can't...",Critical,Won't Fix,Resolved,16/Mar/22 07:40,09/Aug/22 08:08,1.7.1
13425509,"Snapshot is corrupted due to interaction between move, warmupRegion, compaction, and HFileArchiver","There is an interesting sequence of events which leads to split-brain, double-assignment type of behavior with management of store files.

The scenario is this:
# Take snapshot
# RegionX of snapshotted table is hosted on RegionServer1.
# Stop RegionServer1, using {{region_mover}}, gracefully moving all regions to other regionservers using {{move}} RPCs.
# RegionX is now opened on RegionServer2.
# RegionServer2 compacts RegionX after opening.
# RegionServer1 starts and uses {{region_mover}} to {{move}} all previously owned regions back to itself.
# The HMaster RPC to {{move}} calls {{warmupRegion}} on RegionServer1.
# As part of {{warmupRegion}}, RegionServer1 opens all store files of RegionX. CompactedHFilesDischarger chore has not yet archived the pre-compacted store file. RegionServer1 finds both the pre-compacted store file and post-compacted store file. It logs a warning and archives the pre-compacted file.
# RegionServer1 has warmed up the region, so now HMaster resumes the {{move}} and sends {{close}} RegionX to RegionServer2.
# RegionServer2 closes its store files. As part of this, it archives any compacted files which have not yet been archived by the {{CompactedHFilesDischarger}} chore.
# Since RegionServer1 already archived the file, RegionServer2's {{HFileArchiver}} finds the destination archive file already exists. (code link)
# RegionServer2 renames the archived file, to free up the desired destination filename.
With the archived file renamed, RegionServer2 attempts to archive the file as planned. But the source file doesn't exist because RegionServer1 already moved it... to the location RegionServer2 expected to use!
# RegionServer2 silently ignores this archival failure. (code link)
# HMaster {{HFileCleaner}} chore later deletes the renamed archive file, because there is no active reference to it. (The snapshot reference is to the original named file, not the ""backup"" timestamped version.) The snapshot data is irretrievably lost.

HBASE-26718 tracks a potential, specific change to the archival process to avoid this specific issue.

However, there is a more fundamental problem here that a region opened by {{warmupRegion}} can operate on that region's store files while the region is opened elsewhere, which must not be allowed.

This was seen on branch-1, and is a combination of HBASE-22330 and not having the fix for HBASE-22163.",Critical,Duplicate,Resolved,29/Jan/22 01:21,29/Jan/22 01:25,1.3.5
13432570,ShortCircuitingClusterConnection fails to close RegionScanners when making short-circuited calls,"Just ran into this on the Phoenix side.
We retrieve a Connection via {{{}RegionCoprocessorEnvironment.createConnection... getTable(...){}}}. And then call get on that table. The Get's key happens to be local. Now each call to table.get() leaves an open StoreScanner around forever. (verified with a memory profiler).

There references are held via RegionScannerImpl.storeHeap.scannersForDelayedClose. Eventially the RegionServer goes into a GC of death and can only ended with kill -9.

The reason appears to be that in this case there is no currentCall context. Some time in 2.x the Rpc handler/call was made responsible for closing open region scanners, but we forgot to handle {{ShortCircuitingClusterConnection}}

It's not immediately clear how to fix this. But it does make ShortCircuitingClusterConnection useless and dangerous. If you use it, you *will* create a giant memory leak.",Critical,Fixed,Resolved,08/Mar/22 06:34,01/Apr/22 02:44,2.4.9
13423215,Wait on the future returned by FanOutOneBlockAsyncDFSOutput.flush would stuck,"Consider there are three dataNodes: dn1,dn2,and dn3, and we write some data to {{FanOutOneBlockAsyncDFSOutput}} and then flush it, there are one {{Callback}} in {{FanOutOneBlockAsyncDFSOutput.waitingAckQueue}}.  If the ack from dn1 arrives firstly and triggers Netty to invoke {{FanOutOneBlockAsyncDFSOutput.completed}} with dn1's channel, then in {{FanOutOneBlockAsyncDFSOutput.completed}}, dn1's channel is removed from {{Callback.unfinishedReplicas}}. 
But dn2 and dn3 respond slowly, before dn2 and dn3 sending ack , dn1 is shut down or have a exception, so {{FanOutOneBlockAsyncDFSOutput.failed}} is triggered by Netty with dn1's channel, and because the {{Callback.unfinishedReplicas}} does not contain dn1's channel,the {{Callback}} is skipped in {{FanOutOneBlockAsyncDFSOutput.failed}} method, just as following line250, and at line 245, {{FanOutOneBlockAsyncDFSOutput.state}} is set to {{State.BROKEN}}.
{code:java}
233  private synchronized void failed(Channel channel, Supplier<Throwable> errorSupplier) {
234     if (state == State.BROKEN || state == State.CLOSED) {
235         return;
236      }
     ....
244    // disable further write, and fail all pending ack.
245    state = State.BROKEN;
246    Throwable error = errorSupplier.get();
247    for (Iterator<Callback> iter = waitingAckQueue.iterator(); iter.hasNext();) {
248      Callback c = iter.next();
249      // find the first sync request which we have not acked yet and fail all the request after it.
250      if (!c.unfinishedReplicas.contains(channel.id())) {
251        continue;
252      }
253      for (;;) {
254        c.future.completeExceptionally(error);
255        if (!iter.hasNext()) {
256          break;
257        }
258        c = iter.next();
259      }
260    break;
261    }
262   datanodeInfoMap.keySet().forEach(ChannelOutboundInvoker::close);
263  }
{code}
At the end of above method in line 262, dn1,dn2 and dn3 are all closed, so the {{FanOutOneBlockAsyncDFSOutput.failed}} is triggered again by dn2 and dn3, but at the above line 234, because {{FanOutOneBlockAsyncDFSOutput.state}}  is already {{State.BROKEN}}, the whole  {{FanOutOneBlockAsyncDFSOutput.failed}}  is skipped. So wait on the future returned by {{FanOutOneBlockAsyncDFSOutput.flush}} would stuck for ever.

When we roll the wal, we would create a new {{FanOutOneBlockAsyncDFSOutput}} and a new {{AsyncProtobufLogWriter}}, in {{AsyncProtobufLogWriter.init}} we write wal header to {{FanOutOneBlockAsyncDFSOutput}} and wait it to complete. If we run into this situation, the roll would stuck forever.

I have simulate this case in the PR, and my fix is even through the  {{FanOutOneBlockAsyncDFSOutput.state}}  is already {{State.BROKEN}}, we would still try to trigger {{Callback.future}}",Critical,Fixed,Resolved,18/Jan/22 09:17,28/Jan/22 12:53,2.4.9
13422683,HFileLinkCleaner should be added even if snapshot is disabled,"We encountered a problem in our cluster:
1. Cluster has many snapshots, cause the archive directory is too big.
2. We delete some snapshots, but the cleaner runs slowly because this is a race in synchronized method of SnapshotHFileCleaner.
3. We delete all snapshots, and disable snapshot feature(hbase.snapshot.enabled=false), so the cleaner will skip the synchronized method in SnapshotHFileCleaner.
4. After cleaner runs, some back reference and data files under archive directory are deleted, but they are still used by some restored tables. This does not meet expectations.

One solution is add HFileLinkCleaner even if snapshot is disabled.",Critical,Fixed,Resolved,14/Jan/22 07:37,14/Mar/22 04:36,
