item_id,Issue id,Summary,Description,Priority,Resolution,Status,Created,Resolved,text,is_severe_fixed_bug
HBASE-13540771,13540771,The description about hbase.hstore.comactionThreshold is not accurate,"In document hbase-default.xml， The  description about [hbase.hstore.comactionThreshold|http://hbase.hstore.comactionthreshold/] is not accurate，as follow：

!2023-06-20_221700.png!

Actually，hbase will run compaction when the number of store files greater than or equal to [hbase.hstore.comactionThreshold|http://hbase.hstore.comactionthreshold/], as follow

!2023-06-20_221821.png!

 ",Minor,Fixed,Resolved,20/Jun/23 14:24,05/Jul/23 14:40,"The description about hbase.hstore.comactionThreshold is not accurate. In document hbase-default.xml， The  description about [hbase.hstore.comactionThreshold|http://hbase.hstore.comactionthreshold/] is not accurate，as follow：

!2023-06-20_221700.png!

Actually，hbase will run compaction when the number of store files greater than or equal to [hbase.hstore.comactionThreshold|http://hbase.hstore.comactionthreshold/], as follow

!2023-06-20_221821.png!",0
HBASE-13282243,13282243,Flaky tests due to ZK client name resolution delays,"[~ndimiduk] and I ran into this issue (separately) and we noticed that there are some performance issues with name resolution in the Zookeeper client. Since we use ZK heavily in the unit tests, this often manifests as the following issues 

1. Test time outs starting the mini cluster (Master failed to start....)
2. InterruptedException (because the tests timeout)
3. Flaky tests because a subset of the cluster fails to start for whatever reason (replication tests especially because they spawn multiple clusters).
4. ConnectionLoss to znode /hbase/xyzz.. JVM pause?

I have strong feeling that this is a possible cause for many of our flaky tests in Jenkins. Luckily, it looks like the following workaround to switch to an IP address instead of hostname makes it much quicker. There are some related discussions in the ZK community (ZOOKEEPER-1666 and related jiras).


{code:java}
--- a/hbase-common/src/main/resources/hbase-default.xml
+++ b/hbase-common/src/main/resources/hbase-default.xml
@@ -72,7 +72,7 @@ possible configurations would overwhelm and obscure the important.
   </property>
   <property>
     <name>hbase.zookeeper.quorum</name>
-    <value>localhost</value>
+    <value>127.0.0.1</value>
     <description>Comma separated list of servers in the ZooKeeper ensemble
     (This config. should have been named hbase.zookeeper.ensemble).
     For example, ""host1.mydomain.com,host2.mydomain.com,host3.mydomain.com"".
{code}


Until we figure out the actual root cause and a dependency upgrade (if needed), we should consider making this hostname to IP switch for more stable builds.",Major,Fixed,Resolved,29/Jan/20 17:52,02/Feb/20 00:32,"Flaky tests due to ZK client name resolution delays. [~ndimiduk] and I ran into this issue (separately) and we noticed that there are some performance issues with name resolution in the Zookeeper client. Since we use ZK heavily in the unit tests, this often manifests as the following issues 

1. Test time outs starting the mini cluster (Master failed to start....)
2. InterruptedException (because the tests timeout)
3. Flaky tests because a subset of the cluster fails to start for whatever reason (replication tests especially because they spawn multiple clusters).
4. ConnectionLoss to znode /hbase/xyzz.. JVM pause?

I have strong feeling that this is a possible cause for many of our flaky tests in Jenkins. Luckily, it looks like the following workaround to switch to an IP address instead of hostname makes it much quicker. There are some related discussions in the ZK community (ZOOKEEPER-1666 and related jiras).


{code:java}
--- a/hbase-common/src/main/resources/hbase-default.xml
+++ b/hbase-common/src/main/resources/hbase-default.xml
@@ -72,7 +72,7 @@ possible configurations would overwhelm and obscure the important.
   </property>
   <property>
     <name>hbase.zookeeper.quorum</name>
-    <value>localhost</value>
+    <value>127.0.0.1</value>
     <description>Comma separated list of servers in the ZooKeeper ensemble
     (This config. should have been named hbase.zookeeper.ensemble).
     For example, ""host1.mydomain.com,host2.mydomain.com,host3.mydomain.com"".
{code}


Until we figure out the actual root cause and a dependency upgrade (if needed), we should consider making this hostname to IP switch for more stable builds.",0
HBASE-13550938,13550938,Upgrade BouncyCastle to fix CVE-2023-33201,"HBase has a dependency on BouncyCastle 1.70 which is vulnerable with [CVE-2023-33201|https://nvd.nist.gov/vuln/detail/CVE-2023-33201]

Advisory: [https://github.com/bcgit/bc-java/wiki/CVE-2023-33201]

This JIRA's goal is to fix the following:
 * Upgrade to v1.76, the latest version.
 ** This requires  bcprov-jdk15on to be replaced with bcprov-jdk18on
 ** See [https://www.bouncycastle.org/latest_releases.html]
 *** 
{quote}*Java Version Details* With the arrival of Java 15. jdk15 is not quite as unambiguous as it was. The *jdk18on* jars are compiled to work with *anything* from Java 1.8 up. They are also multi-release jars so do support some features that were introduced in Java 9, Java 11, and Java 15. If you have issues with multi-release jars see the jdk15to18 release jars below.

*Packaging Change (users of 1.70 or earlier):* BC 1.71 changed the jdk15on jars to jdk18on so the base has now moved to Java 8. For earlier JVMs, or containers/applications that cannot cope with multi-release jars, you should now use the jdk15to18 jars.
{quote}
 * Exclude bcprov-jdk15on from everywhere else to avoid conflicts with bcprov-jdk18on",Major,Fixed,Resolved,16/Sep/23 19:38,23/Sep/23 17:24,"Upgrade BouncyCastle to fix CVE-2023-33201. HBase has a dependency on BouncyCastle 1.70 which is vulnerable with [CVE-2023-33201|https://nvd.nist.gov/vuln/detail/CVE-2023-33201]

Advisory: [https://github.com/bcgit/bc-java/wiki/CVE-2023-33201]

This JIRA's goal is to fix the following:
 * Upgrade to v1.76, the latest version.
 ** This requires  bcprov-jdk15on to be replaced with bcprov-jdk18on
 ** See [https://www.bouncycastle.org/latest_releases.html]
 *** 
{quote}*Java Version Details* With the arrival of Java 15. jdk15 is not quite as unambiguous as it was. The *jdk18on* jars are compiled to work with *anything* from Java 1.8 up. They are also multi-release jars so do support some features that were introduced in Java 9, Java 11, and Java 15. If you have issues with multi-release jars see the jdk15to18 release jars below.

*Packaging Change (users of 1.70 or earlier):* BC 1.71 changed the jdk15on jars to jdk18on so the base has now moved to Java 8. For earlier JVMs, or containers/applications that cannot cope with multi-release jars, you should now use the jdk15to18 jars.
{quote}
 * Exclude bcprov-jdk15on from everywhere else to avoid conflicts with bcprov-jdk18on",0
HBASE-13576734,13576734,Refactoring Data Tiering Management for Improved Extensibility and Maintainability,"This Jira focuses on refactoring the Data Tiering Management module to enhance modularity and remove the Singleton pattern. The objective is to restructure the codebase for better separation of concerns and increased flexibility. This includes migrating away from the Singleton pattern in favor of a more modular approach, enabling easier integration of new data tiering types and handlers.",Major,,Open,22/Apr/24 10:24,,"Refactoring Data Tiering Management for Improved Extensibility and Maintainability. This Jira focuses on refactoring the Data Tiering Management module to enhance modularity and remove the Singleton pattern. The objective is to restructure the codebase for better separation of concerns and increased flexibility. This includes migrating away from the Singleton pattern in favor of a more modular approach, enabling easier integration of new data tiering types and handlers.",0
HBASE-13279574,13279574,Split failure may cause region hole and data loss when use zk assign,"to mock this case, I add a sleep code in SplitTransactionImpl.excute after the PONR and before openDaughters:
{code:java}
public PairOfSameType<Region> execute(final Server server,
      final RegionServerServices services, User user) throws IOException {
    this.server = server;
    this.rsServices = services;
    useZKForAssignment = server == null ? true :
      ConfigUtil.useZKForAssignment(server.getConfiguration());
    if (useCoordinatedStateManager(server)) {
      std =
          ((BaseCoordinatedStateManager) server.getCoordinatedStateManager())
              .getSplitTransactionCoordination().getDefaultDetails();
    }
    PairOfSameType<Region> regions = createDaughters(server, services, user);
    if (this.parent.getCoprocessorHost() != null) {
      if (user == null) {
        parent.getCoprocessorHost().preSplitAfterPONR();
      } else {
        try {
          user.getUGI().doAs(new PrivilegedExceptionAction<Void>() {
            @Override
            public Void run() throws Exception {
              parent.getCoprocessorHost().preSplitAfterPONR();
              return null;
            }
          });
        } catch (InterruptedException ie) {
          InterruptedIOException iioe = new InterruptedIOException();
          iioe.initCause(ie);
          throw iioe;
        }
      }
    }
    
    //sleep here!!!
    try {
      Thread.sleep(1000 * 60 * 60);
    } catch (InterruptedException e) {
      e.printStackTrace();
    }

    regions = stepsAfterPONR(server, services, regions, user);

    transition(SplitTransactionPhase.COMPLETED);

    return regions;
  }
{code}
so the split transaction will hang.

then i try to reproduce this problem:

1.Create a test table and move it into a test rsgroup, there is only 1 RS in the test group

2.Trigger a region split

3.The split transaction step after the PONR and sleep, regioninfo in meta has been updated

4.Kill the RS process to mock machine crash

5.ServerCrashProcedure cleanup SPLITING_NEW region, the daughter regions will be deleted

6.ServerCrashProcedure try to assign the parent region, because RS is down and assign fails, the region status is set to FAILED_OPEN and put back into regionsInTransition. But at this time, due to RS crash, the node of the region under ZK region-in-transition no longer exist

7.CatalogJanitor thread is blocked due to RIT

8.Switch active master

9.The CatalogJanitor thread on the new master executes normally and the parent region is cleaned up because split = true && offline = true in the meta table

10.We have a hole in the test table and loss data.

 

I modified the code when ServerCrashProcedure cleans up the child regions, it will update the parent regioninfo in the meta table, and this problem is no longer reproduced.


I will upload the patch later.",Critical,Fixed,Resolved,15/Jan/20 12:15,11/Feb/20 15:36,"Split failure may cause region hole and data loss when use zk assign. to mock this case, I add a sleep code in SplitTransactionImpl.excute after the PONR and before openDaughters:
{code:java}
public PairOfSameType<Region> execute(final Server server,
      final RegionServerServices services, User user) throws IOException {
    this.server = server;
    this.rsServices = services;
    useZKForAssignment = server == null ? true :
      ConfigUtil.useZKForAssignment(server.getConfiguration());
    if (useCoordinatedStateManager(server)) {
      std =
          ((BaseCoordinatedStateManager) server.getCoordinatedStateManager())
              .getSplitTransactionCoordination().getDefaultDetails();
    }
    PairOfSameType<Region> regions = createDaughters(server, services, user);
    if (this.parent.getCoprocessorHost() != null) {
      if (user == null) {
        parent.getCoprocessorHost().preSplitAfterPONR();
      } else {
        try {
          user.getUGI().doAs(new PrivilegedExceptionAction<Void>() {
            @Override
            public Void run() throws Exception {
              parent.getCoprocessorHost().preSplitAfterPONR();
              return null;
            }
          });
        } catch (InterruptedException ie) {
          InterruptedIOException iioe = new InterruptedIOException();
          iioe.initCause(ie);
          throw iioe;
        }
      }
    }
    
    //sleep here!!!
    try {
      Thread.sleep(1000 * 60 * 60);
    } catch (InterruptedException e) {
      e.printStackTrace();
    }

    regions = stepsAfterPONR(server, services, regions, user);

    transition(SplitTransactionPhase.COMPLETED);

    return regions;
  }
{code}
so the split transaction will hang.

then i try to reproduce this problem:

1.Create a test table and move it into a test rsgroup, there is only 1 RS in the test group

2.Trigger a region split

3.The split transaction step after the PONR and sleep, regioninfo in meta has been updated

4.Kill the RS process to mock machine crash

5.ServerCrashProcedure cleanup SPLITING_NEW region, the daughter regions will be deleted

6.ServerCrashProcedure try to assign the parent region, because RS is down and assign fails, the region status is set to FAILED_OPEN and put back into regionsInTransition. But at this time, due to RS crash, the node of the region under ZK region-in-transition no longer exist

7.CatalogJanitor thread is blocked due to RIT

8.Switch active master

9.The CatalogJanitor thread on the new master executes normally and the parent region is cleaned up because split = true && offline = true in the meta table

10.We have a hole in the test table and loss data.

 

I modified the code when ServerCrashProcedure cleans up the child regions, it will update the parent regioninfo in the meta table, and this problem is no longer reproduced.


I will upload the patch later.",1
HBASE-13285430,13285430,Remove deprecated setMaxVersions(int) from Scan,{{setMaxVersions(int)}} in {{Scan}} was deprecated back in 2.0.0 and should be removed for 3.0.0.,Minor,Fixed,Resolved,14/Feb/20 21:40,31/Mar/20 08:18,Remove deprecated setMaxVersions(int) from Scan. {{setMaxVersions(int)}} in {{Scan}} was deprecated back in 2.0.0 and should be removed for 3.0.0.,0
HBASE-13279975,13279975,Make sure HBaseClassTestRule doesn't suffer same issue as HBaseClassTestRuleChecker,"[~bharathv] pointed out on HBASE-23695 ([https://github.com/apache/hbase/pull/1052]) that HBaseClassTestRule suffers the same potential bug that I fixed in HBASE-23695 for HBaseClassTestRuleChecker. Make sure the fix is in both places.

 ",Minor,Fixed,Resolved,16/Jan/20 20:31,17/Jan/20 18:03,Make sure HBaseClassTestRule doesn't suffer same issue as HBaseClassTestRuleChecker. [~bharathv] pointed out on HBASE-23695 ([https://github.com/apache/hbase/pull/1052]) that HBaseClassTestRule suffers the same potential bug that I fixed in HBASE-23695 for HBaseClassTestRuleChecker. Make sure the fix is in both places.,0
HBASE-13409145,13409145,Introduce a region replication sink for sinking WAL edits to secondary replicas directly,"Without reading the WAL file.

This could decouple the dependency between WAL and replication a bit, and also it will have a much lower latency.",Major,Fixed,Resolved,29/Oct/21 16:01,02/Nov/21 02:16,"Introduce a region replication sink for sinking WAL edits to secondary replicas directly. Without reading the WAL file.

This could decouple the dependency between WAL and replication a bit, and also it will have a much lower latency.",0
HBASE-13538580,13538580,Skip submitting Split/Merge procedure when split/merge is disabled at table level,"*Scenario*

If split/merge is disabled at table level , master will submit a SplitTableRegionProcedure/MergeTableRegionsProcedure , and rollback it as execution fails during pre-checks .

*Improvement*

Master can check it early and no need to submit SplitTableRegionProcedure/MergeTableRegionsProcedure when split/merge switch is disabled at Table level.

*Steps*
{code:java}
create 'testCreateTableWithMergeDisableParameter', 'f1', {MERGE_ENABLED => false}
list_regions 'testCreateTableWithMergeDisableParameter'
merge_region 'd21cdc5d488e8036017696c46cffd9b1','6382c8f731a4f0379b6e98ece4b06e3e'
{code}
{code:java}
create 'testcreatetablewithsplitdisableparameter', 'f1', {SPLIT_ENABLED => false}
split 'testcreatetablewithsplitdisableparameter','30'{code}
 ",Minor,Fixed,Resolved,02/Jun/23 11:26,25/Sep/24 05:50,"Skip submitting Split/Merge procedure when split/merge is disabled at table level. *Scenario*

If split/merge is disabled at table level , master will submit a SplitTableRegionProcedure/MergeTableRegionsProcedure , and rollback it as execution fails during pre-checks .

*Improvement*

Master can check it early and no need to submit SplitTableRegionProcedure/MergeTableRegionsProcedure when split/merge switch is disabled at Table level.

*Steps*
{code:java}
create 'testCreateTableWithMergeDisableParameter', 'f1', {MERGE_ENABLED => false}
list_regions 'testCreateTableWithMergeDisableParameter'
merge_region 'd21cdc5d488e8036017696c46cffd9b1','6382c8f731a4f0379b6e98ece4b06e3e'
{code}
{code:java}
create 'testcreatetablewithsplitdisableparameter', 'f1', {SPLIT_ENABLED => false}
split 'testcreatetablewithsplitdisableparameter','30'{code}",0
HBASE-13433870,13433870,Expose meta lookup configs in HConstants,"This makes it easier for clients to set this config in an upgrade-compatible way. In other words, if a future release changes or removes these configs it will be clear to users because imports will break. Otherwise hbase may start silently ignoring these fields:
{code:java}
hbase.hconnection.meta.lookup.threads.max
hbase.hconnection.meta.lookup.threads.core{code}",Minor,,Open,15/Mar/22 12:37,,"Expose meta lookup configs in HConstants. This makes it easier for clients to set this config in an upgrade-compatible way. In other words, if a future release changes or removes these configs it will be clear to users because imports will break. Otherwise hbase may start silently ignoring these fields:
{code:java}
hbase.hconnection.meta.lookup.threads.max
hbase.hconnection.meta.lookup.threads.core{code}",0
