execution_position,tcs_id,menu,estimated_cost,is_initial_seed,predicted_mean,predicted_std,acquisition,confirmed_bug_dummy,cumulative_bugs,cumulative_cost
1,FC-LGN-001,Login,13.0,True,,,,0,0,13.0
2,FC-REG-001,Register,5.0,True,,,,0,0,18.0
3,FC-MN-001,Main,9.0,True,,,,0,0,27.0
4,FC-NCG-001,Buat Chat Baru,11.0,True,,,,0,0,38.0
5,FC-CRG-001,Ruang Obrolan,6.0,True,,,,0,0,44.0
6,FC-GPR-001,Profil Grup,7.0,True,,,,0,0,51.0
7,FC-MIF-001,Info Pesan,5.0,True,,,,1,1,56.0
8,FC-FSI-001,Lihat Gambar Layar Penuh,6.0,True,,,,0,1,62.0
9,FC-PRF-001,Profil Pengguna,6.0,True,,,,0,1,68.0
10,FC-MN-006,Main,2.0,False,0.14605528090415282,0.6367581143467799,0.7786606505006831,1,2,70.0
11,FC-REG-006,Register,2.0,False,0.15211434590757011,0.6674312994104847,0.8154788821909531,0,2,72.0
12,FC-GPR-002,Profil Grup,2.0,False,0.14792820332539383,0.6326226066255571,0.77559863831539,1,3,74.0
13,FC-NCP-004,Buat Chat Baru,2.0,False,0.40259820452799344,0.5757276362272731,0.8953312940544826,1,4,76.0
14,FC-NCG-003,Buat Chat Baru,3.0,False,0.3200228634565383,0.6380777945855803,0.7373568660653286,0,4,79.0
15,FC-PRF-003,Profil Pengguna,4.0,False,0.3453896523556865,0.7173060863155479,0.7106743909145042,0,4,83.0
16,FC-NCP-003,Buat Chat Baru,5.0,False,0.5632949658968209,0.6269254395879246,0.6724675369485046,0,4,88.0
17,FC-LGN-006,Login,3.0,False,0.16743270788162945,0.5356286110371092,0.5605353031185173,0,4,91.0
18,FC-MN-007,Main,7.0,False,0.5508411885940554,0.5615886557915676,0.5265892400600587,1,5,98.0
19,FC-CRP-001,Ruang Obrolan,5.0,False,0.4052860267691427,0.5508289378095619,0.5507567059121758,0,5,103.0
20,FC-NCP-002,Buat Chat Baru,7.0,False,0.4130315304497285,0.6284359071750415,0.5124009144558616,0,5,110.0
21,FC-GPR-005,Profil Grup,5.0,False,0.2557013826562218,0.600817094947949,0.5173934946162674,0,5,115.0
22,FC-CRG-004,Ruang Obrolan,8.0,False,0.4756801700587159,0.625848772899931,0.5000847704483596,1,6,123.0
23,FC-MIF-002,Info Pesan,10.0,False,0.7230322766730446,0.6015214941090488,0.5139695790502077,1,7,133.0
24,FC-GPR-003,Profil Grup,7.0,False,0.601227519646662,0.4737093417719467,0.49581059520546805,1,8,140.0
25,FC-NCP-005,Buat Chat Baru,11.0,False,0.8853088723302984,0.5026898600159031,0.494280711861436,1,9,151.0
26,FC-CRP-002,Ruang Obrolan,8.0,False,0.516828484695607,0.5253615133126265,0.46134147959765437,0,9,159.0
27,FC-MN-003,Main,4.0,False,0.037769912737146916,0.5855753709909587,0.45806648461179245,0,9,163.0
28,FC-MIF-003,Info Pesan,12.0,False,0.7430161595795477,0.5415711103282266,0.4489974596227415,1,10,175.0
29,FC-MIF-004,Info Pesan,12.0,False,0.5951571917509537,0.6192944134313377,0.4399694296604381,0,10,187.0
30,FC-CRP-012,Ruang Obrolan,7.0,False,0.14665069309235046,0.6695267037978272,0.43501471358091415,0,10,194.0
31,FC-NCU-004,Buat Chat Baru,4.0,False,-0.0011169464824558606,0.5653994370580457,0.4240495777935343,0,10,198.0
32,FC-NCG-002,Buat Chat Baru,5.0,False,0.037157267993384716,0.5905750900257252,0.4127870495529509,0,10,203.0
33,FC-NCP-001,Buat Chat Baru,6.0,False,0.17932376098510971,0.5168885342272687,0.389736909549703,0,10,209.0
34,FC-CRG-007,Ruang Obrolan,8.0,False,0.22726478672979977,0.5724796935204481,0.3839534409457069,1,11,217.0
35,FC-CRG-003,Ruang Obrolan,9.0,False,0.2933122772423501,0.62784663881366,0.41169407848761336,0,11,226.0
36,FC-MN-008,Main,9.0,False,0.16983566685630458,0.6835023517063814,0.39836306480529227,0,11,235.0
37,FC-CRP-010,Ruang Obrolan,8.0,False,0.09269135553763402,0.6699681648315774,0.38807561742765334,0,11,243.0
38,FC-REG-002,Register,9.0,False,0.23912418231148544,0.6103624006188288,0.38488926107990956,0,11,252.0
39,FC-CRP-008,Ruang Obrolan,13.0,False,0.6470316379994969,0.48681775986697334,0.3819827184742286,1,12,265.0
