execution_position,tcs_id,menu,estimated_cost,is_initial_seed,predicted_mean,predicted_std,acquisition,confirmed_bug_dummy,cumulative_bugs,cumulative_cost
1,FC-LGN-001,Login,13.0,True,,,,0,0,13.0
2,FC-REG-001,Register,5.0,True,,,,0,0,18.0
3,FC-MN-001,Main,9.0,True,,,,0,0,27.0
4,FC-NCG-001,Buat Chat Baru,11.0,True,,,,0,0,38.0
5,FC-CRG-001,Ruang Obrolan,6.0,True,,,,0,0,44.0
6,FC-GPR-001,Profil Grup,7.0,True,,,,0,0,51.0
7,FC-MIF-001,Info Pesan,5.0,True,,,,1,1,56.0
8,FC-FSI-001,Lihat Gambar Layar Penuh,6.0,True,,,,0,1,62.0
9,FC-PRF-001,Profil Pengguna,6.0,True,,,,0,1,68.0
10,FC-NCP-004,Buat Chat Baru,2.0,False,0.031768160921724076,0.7744401215047412,0.843881274321981,1,2,70.0
11,FC-GPR-002,Profil Grup,2.0,False,0.33600160072673263,0.6622944119619689,0.9400583151238051,1,3,72.0
12,FC-MN-006,Main,2.0,False,0.146149416975335,0.7023879437224623,0.8483381608544619,1,4,74.0
13,FC-PRF-003,Profil Pengguna,4.0,False,0.2462754984878548,0.8021409651193951,0.7247434730834738,0,4,78.0
14,FC-CRP-001,Ruang Obrolan,5.0,False,0.4478430704397794,0.7358843541809329,0.6939277416092439,0,4,83.0
15,FC-LGN-006,Login,3.0,False,0.1461427984068443,0.6612768967586072,0.6570581755290102,0,4,86.0
16,FC-NCU-004,Buat Chat Baru,4.0,False,0.1951718923582151,0.6635496676159915,0.5952481968911012,0,4,90.0
17,FC-MN-007,Main,7.0,False,0.6330171919383242,0.5389960308023827,0.5448400354611812,1,5,97.0
18,FC-MN-003,Main,4.0,False,0.2763677571217701,0.5275751942118432,0.5338652742197674,0,5,101.0
19,FC-NCP-003,Buat Chat Baru,5.0,False,0.2781772103655122,0.5946286841929552,0.5232936782017196,0,5,106.0
20,FC-GPR-003,Profil Grup,7.0,False,0.39228611229065014,0.6515373395804834,0.517657164501331,1,6,113.0
21,FC-GPR-005,Profil Grup,5.0,False,0.1524273949368572,0.6790752667697185,0.5237051408431723,0,6,118.0
22,FC-MIF-003,Info Pesan,12.0,False,0.705104877159252,0.6762172929892984,0.49635692242094476,1,7,130.0
23,FC-NCG-003,Buat Chat Baru,3.0,False,0.044770385710788146,0.5330663067261625,0.48749715776825125,0,7,133.0
24,FC-NCP-005,Buat Chat Baru,11.0,False,0.7296011984866202,0.5369733654588319,0.46283838049415754,1,8,144.0
25,FC-MN-005,Main,11.0,False,0.7668441899752535,0.4975013951606921,0.4562156946774051,0,8,155.0
26,FC-NCG-002,Buat Chat Baru,5.0,False,-0.07756804020759378,0.6613605000139441,0.4436541106993288,0,8,160.0
27,FC-REG-006,Register,2.0,False,-0.013901779090403243,0.4042078121692919,0.4287271274902269,0,8,162.0
28,FC-MIF-002,Info Pesan,10.0,False,0.411560650502974,0.6281918246088815,0.4281244510781539,1,9,172.0
29,FC-MIF-004,Info Pesan,12.0,False,0.7416565223982468,0.5066753501663216,0.43349465878414,0,9,184.0
30,FC-MN-002,Main,10.0,False,0.2657409077449344,0.6947708199163332,0.41359339000921047,0,9,194.0
31,FC-CRP-011,Ruang Obrolan,7.0,False,-0.04779719175703501,0.6828847600042687,0.387159267661569,0,9,201.0
32,FC-NCP-001,Buat Chat Baru,6.0,False,0.1726825654107491,0.5138779560149813,0.38518205769712305,0,9,207.0
33,FC-LGN-004,Login,12.0,False,0.21167486972511385,0.6572414068646806,0.3456991488901555,0,9,219.0
34,FC-CRP-002,Ruang Obrolan,8.0,False,0.1573267459999499,0.5393234217474515,0.3416428410570555,0,9,227.0
35,FC-NCP-002,Buat Chat Baru,7.0,False,0.12000802580198677,0.488044545367917,0.3220540193216446,0,9,234.0
36,FC-MN-008,Main,9.0,False,0.09896580672534702,0.5711885361101476,0.31858287029685617,0,9,243.0
37,FC-CRG-006,Ruang Obrolan,9.0,False,-0.02825668022944461,0.6352087643346548,0.3176043821673274,0,9,252.0
38,FC-CRP-004,Ruang Obrolan,7.0,False,-0.1369227848529642,0.5592618887366594,0.3170716875757448,0,9,259.0
39,FC-CRP-012,Ruang Obrolan,7.0,False,-0.014257384032390075,0.5235801137364552,0.2968420226497658,0,9,266.0
