execution_position,tcs_id,menu,estimated_cost,is_initial_seed,predicted_mean,predicted_std,acquisition,confirmed_bug_dummy,cumulative_bugs,cumulative_cost
1,FC-LGN-001,Login,13.0,True,,,,0,0,13.0
2,FC-REG-001,Register,5.0,True,,,,0,0,18.0
3,FC-MN-001,Main,9.0,True,,,,0,0,27.0
4,FC-NCG-001,Buat Chat Baru,11.0,True,,,,0,0,38.0
5,FC-CRG-001,Ruang Obrolan,6.0,True,,,,0,0,44.0
6,FC-GPR-001,Profil Grup,7.0,True,,,,0,0,51.0
7,FC-MIF-001,Info Pesan,5.0,True,,,,0,0,56.0
8,FC-FSI-001,Lihat Gambar Layar Penuh,6.0,True,,,,0,0,62.0
9,FC-PRF-001,Profil Pengguna,6.0,True,,,,0,0,68.0
10,FC-NCG-003,Buat Chat Baru,3.0,False,,,,0,0,71.0
11,FC-MIF-004,Info Pesan,12.0,False,,,,1,1,83.0
12,FC-NCU-001,Buat Chat Baru,15.0,False,,,,0,1,98.0
13,FC-NCP-003,Buat Chat Baru,5.0,False,,,,0,1,103.0
14,FC-REG-003,Register,15.0,False,,,,0,1,118.0
15,FC-MN-008,Main,9.0,False,,,,0,1,127.0
16,FC-NCG-002,Buat Chat Baru,5.0,False,,,,0,1,132.0
17,FC-GPR-003,Profil Grup,7.0,False,,,,1,2,139.0
18,FC-PRF-004,Profil Pengguna,9.0,False,,,,1,3,148.0
19,FC-CRP-009,Ruang Obrolan,13.0,False,,,,0,3,161.0
20,FC-CRG-003,Ruang Obrolan,9.0,False,,,,0,3,170.0
21,FC-LGN-007,Login,14.0,False,,,,0,3,184.0
22,FC-PRF-002,Profil Pengguna,14.0,False,,,,0,3,198.0
23,FC-NCP-004,Buat Chat Baru,2.0,False,,,,0,3,200.0
24,FC-NCG-004,Buat Chat Baru,12.0,False,,,,0,3,212.0
25,FC-CRP-001,Ruang Obrolan,5.0,False,,,,0,3,217.0
26,FC-CRP-007,Ruang Obrolan,13.0,False,,,,0,3,230.0
27,FC-NCU-003,Buat Chat Baru,14.0,False,,,,0,3,244.0
28,FC-GPR-005,Profil Grup,5.0,False,,,,0,3,249.0
29,FC-GPR-002,Profil Grup,2.0,False,,,,0,3,251.0
30,FC-CRP-012,Ruang Obrolan,7.0,False,,,,0,3,258.0
31,FC-MIF-003,Info Pesan,12.0,False,,,,0,3,270.0
32,FC-CRG-007,Ruang Obrolan,8.0,False,,,,0,3,278.0
33,FC-LGN-006,Login,3.0,False,,,,0,3,281.0
34,FC-NCP-005,Buat Chat Baru,11.0,False,,,,1,4,292.0
35,FC-MN-006,Main,2.0,False,,,,1,5,294.0
36,FC-CRP-002,Ruang Obrolan,8.0,False,,,,0,5,302.0
37,FC-NCP-002,Buat Chat Baru,7.0,False,,,,0,5,309.0
38,FC-CRP-010,Ruang Obrolan,8.0,False,,,,0,5,317.0
39,FC-REG-005,Register,13.0,False,,,,0,5,330.0
40,FC-FSI-002,Lihat Gambar Layar Penuh,12.0,False,,,,0,5,342.0
41,FC-NCU-004,Buat Chat Baru,4.0,False,,,,0,5,346.0
42,FC-MN-007,Main,7.0,False,,,,0,5,353.0
43,FC-LGN-005,Login,15.0,False,,,,0,5,368.0
44,FC-CRP-004,Ruang Obrolan,7.0,False,,,,0,5,375.0
45,FC-NCG-005,Buat Chat Baru,15.0,False,,,,0,5,390.0
46,FC-REG-006,Register,2.0,False,,,,0,5,392.0
47,FC-CRG-005,Ruang Obrolan,15.0,False,,,,0,5,407.0
48,FC-MIF-002,Info Pesan,10.0,False,,,,0,5,417.0
49,FC-REG-002,Register,9.0,False,,,,0,5,426.0
50,FC-CRP-008,Ruang Obrolan,13.0,False,,,,0,5,439.0
51,FC-MN-002,Main,10.0,False,,,,0,5,449.0
52,FC-GPR-004,Profil Grup,12.0,False,,,,0,5,461.0
53,FC-CRP-011,Ruang Obrolan,7.0,False,,,,1,6,468.0
54,FC-NCP-001,Buat Chat Baru,6.0,False,,,,0,6,474.0
55,FC-NCU-002,Buat Chat Baru,12.0,False,,,,0,6,486.0
56,FC-CRP-005,Ruang Obrolan,12.0,False,,,,0,6,498.0
57,FC-LGN-002,Login,12.0,False,,,,0,6,510.0
58,FC-CRG-006,Ruang Obrolan,9.0,False,,,,0,6,519.0
59,FC-CRG-004,Ruang Obrolan,8.0,False,,,,1,7,527.0
60,FC-MN-003,Main,4.0,False,,,,0,7,531.0
61,FC-CRG-002,Ruang Obrolan,12.0,False,,,,0,7,543.0
62,FC-MN-005,Main,11.0,False,,,,0,7,554.0
63,FC-PRF-003,Profil Pengguna,4.0,False,,,,0,7,558.0
64,FC-LGN-004,Login,12.0,False,,,,0,7,570.0
65,FC-CRP-006,Ruang Obrolan,15.0,False,,,,0,7,585.0
66,FC-CRP-003,Ruang Obrolan,11.0,False,,,,0,7,596.0
67,FC-LGN-003,Login,11.0,False,,,,1,8,607.0
68,FC-MN-004,Main,13.0,False,,,,0,8,620.0
69,FC-REG-004,Register,12.0,False,,,,1,9,632.0
