execution_position,tcs_id,menu,estimated_cost,is_initial_seed,predicted_mean,predicted_std,acquisition,confirmed_bug_dummy,cumulative_bugs,cumulative_cost
1,FC-LGN-001,Login,13.0,True,,,,0,0,13.0
2,FC-REG-001,Register,5.0,True,,,,0,0,18.0
3,FC-MN-001,Main,9.0,True,,,,0,0,27.0
4,FC-NCG-001,Buat Chat Baru,11.0,True,,,,0,0,38.0
5,FC-CRG-001,Ruang Obrolan,6.0,True,,,,0,0,44.0
6,FC-GPR-001,Profil Grup,7.0,True,,,,0,0,51.0
7,FC-MIF-001,Info Pesan,5.0,True,,,,1,1,56.0
8,FC-FSI-001,Lihat Gambar Layar Penuh,6.0,True,,,,0,1,62.0
9,FC-PRF-001,Profil Pengguna,6.0,True,,,,0,1,68.0
10,FC-NCP-004,Buat Chat Baru,2.0,False,0.0691273883121577,0.7457252382688933,0.8398415043640748,1,2,70.0
11,FC-GPR-002,Profil Grup,2.0,False,0.7386034644643608,0.4827877174588917,1.0343452216637625,1,3,72.0
12,FC-MN-006,Main,2.0,False,0.03173412817587079,0.7396986362465161,0.8070082998147305,1,4,74.0
13,FC-REG-006,Register,2.0,False,0.14078011089324494,0.6138386300536703,0.7506207578666237,0,4,76.0
14,FC-NCP-003,Buat Chat Baru,5.0,False,0.6497341529234781,0.639167490441713,0.7193365339387133,0,4,81.0
15,FC-PRF-003,Profil Pengguna,4.0,False,0.44203087382255923,0.5596331498603079,0.6407402993065106,0,4,85.0
16,FC-MN-007,Main,7.0,False,1.0084996494881944,0.3497748650664855,0.5762681818293188,1,5,92.0
17,FC-CRG-004,Ruang Obrolan,8.0,False,0.7692890440601927,0.4952581497121288,0.5346350469482509,1,6,100.0
18,FC-CRP-012,Ruang Obrolan,7.0,False,0.18173275624391555,0.8076232811509555,0.5265678872175517,0,6,107.0
19,FC-CRP-007,Ruang Obrolan,13.0,False,0.9185453967065151,0.4676489064601291,0.44931236103090305,1,7,120.0
20,FC-CRG-007,Ruang Obrolan,8.0,False,0.774824300570408,0.32813663215950784,0.4479624868975074,1,8,128.0
21,FC-GPR-003,Profil Grup,7.0,False,0.9656797575549515,0.13677686508781278,0.44253783425908955,1,9,135.0
22,FC-MIF-002,Info Pesan,10.0,False,1.1033727263440776,0.2353412590017841,0.4278599268954243,1,10,145.0
23,FC-CRP-001,Ruang Obrolan,5.0,False,0.15490298473145317,0.5095379818719276,0.41108319013053385,0,10,150.0
24,FC-MN-003,Main,4.0,False,-0.26651020319348284,0.5344333290877313,0.40082499681579853,0,10,154.0
25,FC-CRG-003,Ruang Obrolan,9.0,False,0.1910672777032314,0.651798993776758,0.3895885894561228,0,10,163.0
26,FC-MIF-003,Info Pesan,12.0,False,0.9480263963768293,0.23369872543715342,0.37486616410382634,1,11,175.0
27,FC-NCP-005,Buat Chat Baru,11.0,False,1.0538637197111989,0.157684369398579,0.3728267839321571,1,12,186.0
28,FC-CRP-010,Ruang Obrolan,8.0,False,0.08168623280208342,0.6178797313330038,0.3565606555594349,0,12,194.0
29,FC-NCG-003,Buat Chat Baru,3.0,False,0.08489758890226129,0.35129176338777374,0.353243237040315,0,12,197.0
30,FC-NCU-004,Buat Chat Baru,4.0,False,-0.07323024689228891,0.45630122822030683,0.3422259211652301,0,12,201.0
31,FC-GPR-005,Profil Grup,5.0,False,0.3170079720037332,0.29512493183354127,0.3397460977923765,0,12,206.0
32,FC-MIF-004,Info Pesan,12.0,False,0.5738022409829835,0.3946164691698217,0.33651638267296013,0,12,218.0
33,FC-REG-002,Register,9.0,False,0.11015042440694467,0.5991964720048905,0.3363150441380935,0,12,227.0
34,FC-LGN-004,Login,12.0,False,-0.09467823198852103,0.7336367372893784,0.317674025821066,0,12,239.0
35,FC-MN-005,Main,11.0,False,0.3422697755864087,0.42326475668952634,0.2946269090981461,0,12,250.0
36,FC-CRP-011,Ruang Obrolan,7.0,False,-0.11170456125095996,0.49949812391697257,0.2831888177630643,0,12,257.0
37,FC-CRP-008,Ruang Obrolan,13.0,False,0.7841803746344411,0.12528035167134594,0.2696122805842951,1,13,270.0
38,FC-MN-008,Main,9.0,False,0.0577146661116652,0.44840750579935557,0.24344197493689954,0,13,279.0
39,FC-GPR-004,Profil Grup,12.0,False,0.04660179222772154,0.4362142834712213,0.20233910413354905,0,13,291.0
