execution_position,mean_cumulative_bugs,p05_cumulative_bugs,p95_cumulative_bugs
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,1.0,1.0,1.0
8,1.0,1.0,1.0
9,1.0,1.0,1.0
10,1.22,1.0,2.0
11,1.445,1.0,2.0
12,1.605,1.0,3.0
13,1.825,1.0,3.0
14,2.04,1.0,4.0
15,2.225,1.0,4.0
16,2.42,1.0,4.0
17,2.63,1.0,4.0
18,2.85,1.0,5.0
19,3.05,1.0,5.0
20,3.245,1.0,5.0
21,3.425,1.0,5.0
22,3.64,1.950000000000001,6.0
23,3.8,2.0,6.0
24,3.99,2.0,6.0
25,4.18,2.0,6.0
26,4.38,2.0,7.0
27,4.58,2.0,7.0
28,4.76,2.950000000000001,7.0
29,5.055,3.0,7.0
30,5.27,3.0,8.0
31,5.465,3.0,8.0
32,5.66,3.0,8.0
33,5.87,3.0,8.0
34,6.095,4.0,9.0
35,6.325,4.0,9.0
36,6.535,4.0,9.0
37,6.72,4.0,9.0
38,6.97,4.0,9.0
39,7.2,4.950000000000001,10.0
40,7.395,5.0,10.0
41,7.58,5.0,10.0
42,7.8,5.0,10.0
43,8.0,5.950000000000001,10.0
44,8.2,6.0,11.0
45,8.38,6.0,11.0
46,8.575,6.0,11.0
47,8.73,6.0,11.0
48,8.92,6.0,11.0
49,9.115,7.0,11.0
50,9.33,7.0,11.0
51,9.51,7.0,12.0
52,9.69,8.0,12.0
53,9.91,8.0,12.0
54,10.125,8.0,12.0
55,10.295,8.0,12.0
56,10.46,8.0,12.0
57,10.65,9.0,12.049999999999983
58,10.815,9.0,13.0
59,11.0,9.0,13.0
60,11.18,9.0,13.0
61,11.4,10.0,13.0
62,11.62,10.0,13.0
63,11.81,10.0,13.0
64,12.005,10.0,13.0
65,12.17,11.0,13.0
66,12.39,11.0,13.0
67,12.57,12.0,13.0
68,12.79,12.0,13.0
69,13.0,13.0,13.0
