execution_position,tcs_id,menu,estimated_cost,is_initial_seed,predicted_mean,predicted_std,acquisition,confirmed_bug_dummy,cumulative_bugs,cumulative_cost
1,FC-LGN-001,Login,13.0,True,,,,0,0,13.0
2,FC-REG-001,Register,5.0,True,,,,0,0,18.0
3,FC-MN-001,Main,9.0,True,,,,0,0,27.0
4,FC-NCG-001,Buat Chat Baru,11.0,True,,,,0,0,38.0
5,FC-CRG-001,Ruang Obrolan,6.0,True,,,,0,0,44.0
6,FC-GPR-001,Profil Grup,7.0,True,,,,0,0,51.0
7,FC-MIF-001,Info Pesan,5.0,True,,,,1,1,56.0
8,FC-FSI-001,Lihat Gambar Layar Penuh,6.0,True,,,,0,1,62.0
9,FC-PRF-001,Profil Pengguna,6.0,True,,,,0,1,68.0
10,FC-MN-006,Main,2.0,False,0.4174446281033539,0.29174962696963236,0.604625136760087,1,2,70.0
11,FC-MN-007,Main,7.0,False,0.6683379115247163,0.24269193849604534,0.3902013824773953,1,3,77.0
12,FC-MIF-002,Info Pesan,10.0,False,0.898340563333563,0.24165614701073987,0.3987078047354446,1,4,87.0
13,FC-CRG-004,Ruang Obrolan,8.0,False,0.7688650708360569,0.18887341053883272,0.372000104736205,1,5,95.0
14,FC-CRG-007,Ruang Obrolan,8.0,False,0.7307585724315633,0.22654250761065947,0.3785044785071564,1,6,103.0
15,FC-REG-006,Register,2.0,False,0.11920966248409748,0.267325252210262,0.36783520865588537,0,6,105.0
16,FC-CRP-007,Ruang Obrolan,13.0,False,0.8525562786149312,0.20811632744824005,0.3230381932752863,1,7,118.0
17,FC-MIF-003,Info Pesan,12.0,False,0.7883459178997789,0.19212214774065264,0.31076719424350613,1,8,130.0
18,FC-NCG-003,Buat Chat Baru,3.0,False,0.19593975788055396,0.2258881779719164,0.308750772495548,0,8,133.0
19,FC-CRP-008,Ruang Obrolan,13.0,False,0.8453486474684242,0.16164758692966025,0.3017069914566465,1,9,146.0
20,FC-MN-008,Main,9.0,False,0.3661505621897705,0.3185991220131947,0.2813497484031875,0,9,155.0
21,FC-CRP-012,Ruang Obrolan,7.0,False,0.1882624356356466,0.32930101073636314,0.25785263674902376,0,9,162.0
22,FC-NCP-003,Buat Chat Baru,5.0,False,0.1360415387443472,0.2777346075574452,0.24714966434000865,0,9,167.0
23,FC-NCG-005,Buat Chat Baru,15.0,False,0.4283948016574355,0.29885263117635574,0.22635618851303446,0,9,182.0
24,FC-MIF-004,Info Pesan,12.0,False,0.4022097595658165,0.20992795825703348,0.20700942888560453,0,9,194.0
25,FC-GPR-002,Profil Grup,2.0,False,-0.1310662271335996,0.19209117455164532,0.20374345819733572,1,10,196.0
26,FC-NCP-004,Buat Chat Baru,2.0,False,0.43576108893817533,0.1369577277947997,0.45339522805482424,1,11,198.0
27,FC-GPR-003,Profil Grup,7.0,False,0.7103064810012754,0.1738172194974952,0.36701571541763567,1,12,205.0
28,FC-NCP-002,Buat Chat Baru,7.0,False,0.541560973240724,0.20559540931706455,0.3212524486567555,0,12,212.0
29,FC-NCP-005,Buat Chat Baru,11.0,False,0.7769641793621389,0.1418770804947792,0.2984298383653599,1,13,223.0
30,FC-NCU-004,Buat Chat Baru,4.0,False,0.33173526572686285,0.14855364414544808,0.2772828659725175,0,13,227.0
31,FC-CRP-002,Ruang Obrolan,8.0,False,0.4121317036643315,0.18289138250441775,0.2427033637935991,0,13,235.0
32,FC-CRP-009,Ruang Obrolan,13.0,False,0.2843781986495859,0.2897573765681267,0.19941867652658687,0,13,248.0
33,FC-CRG-003,Ruang Obrolan,9.0,False,0.2651542697277378,0.22215524990862764,0.1994623815302264,0,13,257.0
34,FC-PRF-003,Profil Pengguna,4.0,False,0.02253469723068946,0.23981383453917907,0.19112772451972904,0,13,261.0
35,FC-GPR-005,Profil Grup,5.0,False,0.0805808101469685,0.2139642764345951,0.17956843389341856,0,13,266.0
36,FC-CRP-010,Ruang Obrolan,8.0,False,0.06290344961934125,0.27919521707962924,0.17030535134682329,0,13,274.0
37,FC-MN-003,Main,4.0,False,-0.15660135147401988,0.22334994018661183,0.16751245513995888,0,13,278.0
38,FC-GPR-004,Profil Grup,12.0,False,0.28216691176401065,0.18185480675849575,0.16020001245826215,0,13,290.0
