replicate,instance_seed,Method,Dummy Bugs Found by Run 20,Dummy Bugs Found by Run 50,Run When All 13 Dummy Bugs Were Found,Total Cost to Find All 13 Dummy Bugs (minutes)
1,20260813,One-Hot,3,9,68,620.0
1,20260813,TF-IDF + SVD,4,11,67,607.0
1,20260813,Multilingual E5,5,10,69,632.0
2,20260814,One-Hot,1,8,65,582.0
2,20260814,TF-IDF + SVD,2,8,66,602.0
2,20260814,Multilingual E5,1,7,67,609.0
3,20260815,One-Hot,3,9,60,517.0
3,20260815,TF-IDF + SVD,5,9,67,613.0
3,20260815,Multilingual E5,4,8,67,609.0
4,20260816,One-Hot,4,9,66,593.0
4,20260816,TF-IDF + SVD,6,10,68,621.0
4,20260816,Multilingual E5,3,8,65,582.0
5,20260817,One-Hot,2,6,69,632.0
5,20260817,TF-IDF + SVD,2,7,69,632.0
5,20260817,Multilingual E5,3,8,69,632.0
6,20260818,One-Hot,3,10,63,553.0
6,20260818,TF-IDF + SVD,3,9,69,632.0
6,20260818,Multilingual E5,1,7,68,617.0
7,20260819,One-Hot,4,8,68,620.0
7,20260819,TF-IDF + SVD,4,8,69,632.0
7,20260819,Multilingual E5,5,9,69,632.0
8,20260820,One-Hot,2,9,68,620.0
8,20260820,TF-IDF + SVD,2,8,63,562.0
8,20260820,Multilingual E5,2,8,66,596.0
9,20260821,One-Hot,2,10,63,552.0
9,20260821,TF-IDF + SVD,3,10,67,611.0
9,20260821,Multilingual E5,2,10,65,581.0
10,20260822,One-Hot,1,8,69,632.0
10,20260822,TF-IDF + SVD,2,8,66,602.0
10,20260822,Multilingual E5,2,8,66,597.0
